court_name,court_code,bench_name
Allahabad High Court,9_13,cisdb_16012018
Allahabad High Court,9_13,cishclko
Bombay High Court,27_1,newos_spl
Bombay High Court,27_1,hcbgoa
Bombay High Court,27_1,testcase
Bombay High Court,27_1,hcaurdb
Bombay High Court,27_1,newos
Bombay High Court,27_1,newas
Bombay High Court,27_1,kolhcdb
Calcutta High Court,19_16,calcutta_appellate_side
Calcutta High Court,19_16,calcutta_circuit_bench_at_jalpaiguri
Calcutta High Court,19_16,calcutta_original_side
Calcutta High Court,19_16,calcutta_circuit_bench_at_port_blair
Gauhati High Court,18_6,nlghccis
Gauhati High Court,18_6,azghccis
Gauhati High Court,18_6,arghccis
Gauhati High Court,18_6,asghccis
High Court for State of Telangana,36_29,taphc
High Court of Andhra Pradesh,28_2,aphc
High Court of Chhattisgarh,22_18,cghccisdb
High Court of Delhi,7_26,dhcdb
High Court of Gujarat,24_17,gujarathc
High Court of Himachal Pradesh,2_5,cmis
High Court of Jammu and Kashmir,1_12,jammuhc
High Court of Jammu and Kashmir,1_12,kashmirhc
High Court of Jharkhand,20_7,jhar_pg
High Court of Karnataka,29_3,karhcdharwad
High Court of Karnataka,29_3,karnataka_bng_old
High Court of Karnataka,29_3,karhckalaburagi
High Court of Kerala,32_4,highcourtofkerala
High Court of Madhya Pradesh,23_23,mphc_db_ind
High Court of Madhya Pradesh,23_23,mphc_db_jbp
High Court of Madhya Pradesh,23_23,mphc_db_gwl
High Court of Manipur,14_25,manipurhc_pg
High Court of Meghalaya,17_21,meghalaya
High Court of Orissa,21_11,cisnc
High Court of Punjab and Haryana,3_22,phhc
High Court of Rajasthan,8_9,rhcjodh240618
High Court of Rajasthan,8_9,jaipur
High Court of Sikkim,11_24,sikkimhc_pg
High Court of Tripura,16_20,thcnc
High Court of Uttarakhand,5_15,ukhcucis_pg
Madras High Court,33_10,hc_cis_mas
Madras High Court,33_10,mdubench
Patna High Court,10_8,patnahcucisdb94